INFO 2023-04-25 12:22:24,466 Watching for file changes with StatReloader
INFO 2023-04-25 12:22:27,345 "GET / HTTP/1.1" 302 0
INFO 2023-04-25 12:22:27,369 "GET /accounts/login/?next=/ HTTP/1.1" 200 3989
INFO 2023-04-25 12:22:27,439 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-04-25 12:22:27,440 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-04-25 12:22:27,441 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2023-04-25 12:22:27,443 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-04-25 12:22:27,445 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-04-25 12:22:27,448 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-04-25 12:22:27,451 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-04-25 12:22:27,453 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-04-25 12:22:27,453 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-04-25 12:22:27,454 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-04-25 12:22:27,454 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-04-25 12:22:27,455 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-04-25 12:22:27,821 "GET /static/dist/img/login.png HTTP/1.1" 200 445475
INFO 2023-04-25 12:22:27,876 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
WARNING 2023-04-25 12:22:27,913 Not Found: /favicon.ico
WARNING 2023-04-25 12:22:27,913 "GET /favicon.ico HTTP/1.1" 404 6202
INFO 2023-04-25 12:22:50,718 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2023-04-25 12:22:50,732 "GET / HTTP/1.1" 200 9298
INFO 2023-04-25 12:22:50,801 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2023-04-25 12:22:50,805 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2023-04-25 12:22:50,867 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
